"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "Gemfile", "HTML", "Ruby", "YAML", "erb", "comment", "blank", "total"
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/components/Me.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/components/OrderCard.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/components/ProductCard.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/components/ProductList.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/components/SignUp.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 126
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/components/ThankYou.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/kolt/Development/Capstone/gabbys-salsa/client/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/kolt/Development/Capstone/gabbys-salsa/config.ru", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 3, 7
"/Users/kolt/Development/Capstone/gabbys-salsa/config/application.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 18, 10, 51
